wardname,wardcode,lganame,statename,year_month,event_count,total_fatalities,event_type_breakdown
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-03,3,0,"{'Protests': 2, 'Strategic developments': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-04,3,1,"{'Protests': 1, 'Violence against civilians': 1, 'Riots': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-05,2,0,"{'Protests': 1, 'Strategic developments': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-06,2,0,"{'Violence against civilians': 1, 'Protests': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-07,2,0,"{'Violence against civilians': 1, 'Battles': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-08,7,2,"{'Protests': 3, 'Violence against civilians': 2, 'Strategic developments': 1, 'Battles': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-09,1,0,{'Protests': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-10,1,0,{'Strategic developments': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-11,7,1,"{'Protests': 6, 'Riots': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2023-12,1,0,{'Protests': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-01,1,1,{'Battles': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-02,2,0,"{'Protests': 1, 'Violence against civilians': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-03,2,1,"{'Protests': 1, 'Battles': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-05,3,2,"{'Protests': 2, 'Violence against civilians': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-06,1,0,{'Protests': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-07,5,8,"{'Protests': 3, 'Battles': 2}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-08,2,1,"{'Protests': 1, 'Battles': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2024-11,2,1,"{'Violence against civilians': 1, 'Battles': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2025-01,1,1,{'Battles': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2025-02,1,0,{'Violence against civilians': 1}
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2025-03,2,0,"{'Protests': 1, 'Riots': 1}"
Azuzi 1,IMSWER03,Owerri Municipal,Imo,2025-05,2,0,"{'Violence against civilians': 1, 'Protests': 1}"
Babalosa 2,LASMUN04,Mushin,Lagos,1999-03,2,0,"{'Battles': 1, 'Violence against civilians': 1}"
Babalosa 2,LASMUN04,Mushin,Lagos,1999-06,1,0,{'Violence against civilians': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,1999-12,1,5,{'Violence against civilians': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2002-02,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2003-08,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2004-06,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2004-07,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2005-02,3,0,{'Battles': 3}
Babalosa 2,LASMUN04,Mushin,Lagos,2005-12,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2006-01,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2012-06,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2012-09,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2012-12,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2013-04,1,1,{'Violence against civilians': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2014-01,2,2,"{'Riots': 1, 'Violence against civilians': 1}"
Babalosa 2,LASMUN04,Mushin,Lagos,2015-04,2,0,{'Battles': 2}
Babalosa 2,LASMUN04,Mushin,Lagos,2015-06,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2016-01,1,0,{'Riots': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2016-02,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2016-05,1,0,{'Riots': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2017-04,1,0,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2017-08,1,1,{'Riots': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2020-04,1,0,{'Riots': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2020-08,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2020-10,3,15,{'Protests': 3}
Babalosa 2,LASMUN04,Mushin,Lagos,2020-11,1,3,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2021-03,1,0,{'Violence against civilians': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2021-07,1,1,{'Riots': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2022-06,1,0,{'Riots': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2022-10,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2023-07,1,2,{'Violence against civilians': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2024-02,1,0,{'Protests': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2024-06,3,3,"{'Battles': 2, 'Violence against civilians': 1}"
Babalosa 2,LASMUN04,Mushin,Lagos,2024-07,1,9,{'Battles': 1}
Babalosa 2,LASMUN04,Mushin,Lagos,2025-07,1,1,{'Battles': 1}
Babbangida,71501,Tarmuwa,Yobe,2019-12,1,0,{'Strategic developments': 1}
Babbangida,71501,Tarmuwa,Yobe,2021-08,1,0,{'Violence against civilians': 1}
Babbangida,71501,Tarmuwa,Yobe,2021-09,1,0,{'Battles': 1}
Babbangida,71501,Tarmuwa,Yobe,2023-08,1,0,{'Strategic developments': 1}
Babbangida,71501,Tarmuwa,Yobe,2024-09,2,4,"{'Violence against civilians': 1, 'Battles': 1}"
Bachirawa,KN4201,Ungogo,Kano,2024-08,1,1,{'Riots': 1}
Badarawa,81103,Shinkafi,Zamfara,2018-09,1,6,{'Violence against civilians': 1}
Badarawa,81103,Shinkafi,Zamfara,2021-07,1,0,{'Violence against civilians': 1}
Badarawa,81103,Shinkafi,Zamfara,2021-08,1,0,{'Violence against civilians': 1}
Badarawa,81103,Shinkafi,Zamfara,2024-08,1,1,{'Violence against civilians': 1}
Badarawa,81103,Shinkafi,Zamfara,2024-12,1,0,{'Strategic developments': 1}
Badarawa,81103,Shinkafi,Zamfara,2025-01,2,2,{'Violence against civilians': 2}
Badarawa,81103,Shinkafi,Zamfara,2025-02,1,10,{'Battles': 1}
Badarawa,KD0901,Kaduna North,Kaduna,2018-08,1,0,{'Battles': 1}
Badiko,KD1001,Kaduna South,Kaduna,2000-11,1,0,{'Violence against civilians': 1}
Badiko,KD1001,Kaduna South,Kaduna,2012-08,1,0,{'Strategic developments': 1}
Badiko,KD1001,Kaduna South,Kaduna,2012-12,1,5,{'Battles': 1}
Badiko,KD1001,Kaduna South,Kaduna,2014-08,1,1,{'Battles': 1}
Bajoga West,GMSFKY04,Funakaye,Gombe,2012-04,2,0,"{'Violence against civilians': 1, 'Battles': 1}"
Bajoga West,GMSFKY04,Funakaye,Gombe,2014-12,3,71,"{'Strategic developments': 1, 'Explosions/Remote violence': 1, 'Battles': 1}"
Bakin Ruwa,KN0702,Dala,Kano,2023-03,1,0,{'Strategic developments': 1}
Bakin Ruwa,KN0702,Dala,Kano,2023-11,1,0,{'Riots': 1}
Bakin Ruwa,KN0702,Dala,Kano,2024-02,1,0,{'Protests': 1}
Balogun,KWSFFA01,Offa,Kwara,2013-01,1,3,{'Battles': 1}
Balogun,KWSFFA01,Offa,Kwara,2013-09,2,0,{'Protests': 2}
Balogun,KWSFFA01,Offa,Kwara,2014-01,4,0,{'Protests': 4}
Balogun,KWSFFA01,Offa,Kwara,2015-08,1,1,{'Riots': 1}
Balogun,KWSFFA01,Offa,Kwara,2018-02,1,1,{'Battles': 1}
Balogun,KWSFFA01,Offa,Kwara,2018-06,1,0,{'Protests': 1}
Balogun,KWSFFA01,Offa,Kwara,2020-11,1,0,{'Riots': 1}
Balogun,KWSFFA01,Offa,Kwara,2021-03,1,0,{'Riots': 1}
Balogun,KWSFFA01,Offa,Kwara,2021-06,4,1,"{'Violence against civilians': 2, 'Protests': 1, 'Riots': 1}"
Balogun,KWSFFA01,Offa,Kwara,2021-07,1,0,{'Protests': 1}
Balogun,KWSFFA01,Offa,Kwara,2022-04,1,0,{'Protests': 1}
Balogun,KWSFFA01,Offa,Kwara,2022-06,1,0,{'Protests': 1}
Balogun,KWSFFA01,Offa,Kwara,2023-11,1,1,{'Violence against civilians': 1}
Balogun,KWSFFA01,Offa,Kwara,2024-03,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2018-01,2,1,"{'Riots': 1, 'Violence against civilians': 1}"
Balogun,LASLID05,Lagos Island,Lagos,2020-07,1,1,{'Riots': 1}
Balogun,LASLID05,Lagos Island,Lagos,2021-11,1,1,{'Riots': 1}
Balogun,LASLID05,Lagos Island,Lagos,2022-01,3,6,{'Battles': 3}
Balogun,LASLID05,Lagos Island,Lagos,2022-04,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2022-05,1,0,{'Riots': 1}
Balogun,LASLID05,Lagos Island,Lagos,2023-02,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2023-08,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2024-03,2,0,{'Protests': 2}
Balogun,LASLID05,Lagos Island,Lagos,2024-04,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2024-07,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2025-05,1,0,{'Protests': 1}
Balogun,LASLID05,Lagos Island,Lagos,2025-07,1,0,{'Protests': 1}
Balogun Fulani 2,KWSFUF07,Ilorin South,Kwara,2022-04,1,1,{'Violence against civilians': 1}
Balogun Fulani 2,KWSFUF07,Ilorin South,Kwara,2022-05,1,1,{'Battles': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2021-03,1,0,{'Battles': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2021-05,1,0,{'Battles': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2021-08,1,1,{'Violence against civilians': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2022-07,2,2,{'Violence against civilians': 2}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2022-08,1,1,{'Violence against civilians': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2023-01,1,0,{'Riots': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2023-02,1,0,{'Riots': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2023-07,1,1,{'Violence against civilians': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2023-08,1,0,{'Riots': 1}
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2023-09,2,0,"{'Protests': 1, 'Riots': 1}"
Bamgbe / Elebiju,LASKSE08,Kosofe,Lagos,2024-08,1,0,{'Protests': 1}
Barade,TRSJAL01,Jalingo,Taraba,2019-12,1,0,{'Violence against civilians': 1}
Barade,TRSJAL01,Jalingo,Taraba,2023-03,1,0,{'Violence against civilians': 1}
Baruwa,LASAMO16,Alimosho,Lagos,2020-07,1,0,{'Violence against civilians': 1}
Baruwa,LASAMO16,Alimosho,Lagos,2022-03,1,1,{'Violence against civilians': 1}
Baruwa,LASAMO16,Alimosho,Lagos,2023-01,2,0,"{'Protests': 1, 'Riots': 1}"
Baruwa,LASAMO16,Alimosho,Lagos,2024-08,1,0,{'Riots': 1}
Baruwa,LASSUE08,Surulere,Lagos,2015-05,1,0,{'Protests': 1}
Baruwa,LASSUE08,Surulere,Lagos,2020-11,1,0,{'Riots': 1}
Baruwa,LASSUE08,Surulere,Lagos,2021-02,1,0,{'Riots': 1}
Baruwa,LASSUE08,Surulere,Lagos,2023-02,1,0,{'Violence against civilians': 1}
Baruwa,LASSUE08,Surulere,Lagos,2024-03,1,0,{'Riots': 1}
Bashorun,OYSIBN04,Ibadan North,Oyo,2022-03,1,1,{'Violence against civilians': 1}
Bashorun,OYSIBN04,Ibadan North,Oyo,2022-04,1,0,{'Violence against civilians': 1}
Basorun,OYSINE05,Ibadan North East,Oyo,2024-05,1,0,{'Battles': 1}
Basorun,OYSINE05,Ibadan North East,Oyo,2024-08,1,1,{'Battles': 1}
Basorun,OYSINE05,Ibadan North East,Oyo,2025-04,1,0,{'Protests': 1}
Beji,NISMAK01,Bosso,Niger,2023-03,1,0,{'Violence against civilians': 1}
Beji,NISMAK01,Bosso,Niger,2023-11,2,8,{'Battles': 2}
Beji,NISMAK01,Bosso,Niger,2024-08,2,6,"{'Battles': 1, 'Violence against civilians': 1}"
Beji,NISMAK01,Bosso,Niger,2024-11,1,0,{'Strategic developments': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,1997-02,1,0,{'Riots': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,1998-12,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2000-06,2,200,{'Battles': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2002-07,2,4,"{'Violence against civilians': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2002-10,1,3,{'Battles': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2003-06,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2004-11,1,0,{'Riots': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2005-07,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2005-12,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2010-01,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2010-03,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2010-05,1,1,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2010-09,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2012-06,2,5,"{'Strategic developments': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2012-09,3,4,"{'Protests': 2, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2012-10,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2013-08,3,6,"{'Protests': 1, 'Riots': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2013-09,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2013-10,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2013-11,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-05,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-06,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-08,1,3,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-09,2,3,"{'Riots': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-10,2,0,"{'Protests': 1, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-11,4,0,"{'Protests': 2, 'Explosions/Remote violence': 1, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2014-12,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-01,5,2,"{'Protests': 3, 'Battles': 1, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-03,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-04,3,0,{'Protests': 3}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-05,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-06,3,0,"{'Explosions/Remote violence': 1, 'Battles': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-08,3,1,"{'Protests': 2, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2015-10,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2016-01,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2016-02,3,1,"{'Protests': 2, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2016-03,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2016-05,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2016-06,2,1,"{'Violence against civilians': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2016-10,3,7,{'Battles': 3}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-02,5,7,"{'Riots': 3, 'Protests': 2}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-03,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-04,2,0,"{'Violence against civilians': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-05,3,10,"{'Protests': 2, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-06,1,3,{'Riots': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-08,2,0,"{'Riots': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2017-12,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-01,2,1,"{'Violence against civilians': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-03,1,2,{'Riots': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-06,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-07,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-08,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-09,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2018-10,1,0,{'Strategic developments': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-02,2,0,"{'Protests': 1, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-03,2,0,"{'Protests': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-04,1,4,{'Battles': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-06,2,0,"{'Violence against civilians': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-07,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-08,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-09,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-10,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-11,4,0,"{'Protests': 3, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2019-12,3,1,"{'Protests': 2, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-01,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-02,3,0,{'Protests': 3}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-03,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-04,4,0,"{'Protests': 2, 'Violence against civilians': 1, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-05,3,1,"{'Riots': 1, 'Violence against civilians': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-06,3,0,{'Protests': 3}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-07,2,3,"{'Protests': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-08,4,0,"{'Protests': 3, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-09,6,0,{'Protests': 6}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-10,9,3,"{'Riots': 4, 'Protests': 3, 'Violence against civilians': 2}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-11,3,0,"{'Violence against civilians': 2, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2020-12,2,1,{'Violence against civilians': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-01,5,0,{'Protests': 5}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-02,3,3,"{'Battles': 2, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-03,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-04,2,15,"{'Protests': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-05,3,10,"{'Protests': 2, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-06,3,0,"{'Protests': 2, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-07,2,0,{'Violence against civilians': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-08,4,1,"{'Protests': 1, 'Riots': 1, 'Violence against civilians': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-09,3,0,"{'Violence against civilians': 1, 'Battles': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-10,6,0,"{'Protests': 4, 'Violence against civilians': 2}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2021-11,4,1,"{'Violence against civilians': 3, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-01,2,0,"{'Violence against civilians': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-02,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-03,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-06,4,0,"{'Protests': 3, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-07,2,0,"{'Protests': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-08,2,0,"{'Protests': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-09,2,1,"{'Riots': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-10,1,1,{'Battles': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-11,4,0,"{'Protests': 2, 'Battles': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2022-12,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-01,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-02,1,1,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-03,2,0,"{'Strategic developments': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-04,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-05,2,0,"{'Protests': 1, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-06,2,0,"{'Strategic developments': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-08,5,0,{'Protests': 5}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-09,3,0,"{'Riots': 2, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-10,4,1,"{'Protests': 3, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-11,4,0,"{'Violence against civilians': 3, 'Riots': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2023-12,3,0,"{'Protests': 2, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-01,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-02,2,0,{'Protests': 2}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-03,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-04,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-05,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-06,1,0,{'Violence against civilians': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-07,2,0,"{'Riots': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-08,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-09,1,1,{'Riots': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-10,2,1,"{'Riots': 1, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-11,1,0,{'Protests': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2024-12,1,0,{'Riots': 1}
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2025-02,2,1,"{'Protests': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2025-04,3,0,"{'Violence against civilians': 2, 'Protests': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2025-05,2,0,"{'Protests': 1, 'Battles': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2025-06,2,0,"{'Protests': 1, 'Violence against civilians': 1}"
Big Qua / Four,CRSCAL10,Calabar Municipal,Cross River,2025-07,1,0,{'Protests': 1}
Bodai,60301,Dange Shuni,Sokoto,2019-08,1,0,{'Violence against civilians': 1}
Bodai,60301,Dange Shuni,Sokoto,2021-09,2,0,"{'Strategic developments': 1, 'Violence against civilians': 1}"
